,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
37,"37	Influenza A virus (A/Aichi/17/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
38,"38	Influenza A virus (A/Aichi/173/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
39,"39	Influenza A virus (A/Aichi/174/05(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
40,"40	Influenza A virus (A/Aichi/174/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
41,"41	Influenza A virus (A/Aichi/185/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
42,"42	Influenza A virus (A/Aichi/188/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
43,"43	Influenza A virus (A/Aichi/19/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
44,"44	Influenza A virus (A/Aichi/197/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
45,"45	Influenza A virus (A/Aichi/211/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
46,"46	Influenza A virus (A/Aichi/21/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
47,"47	Influenza A virus (A/Aichi/213/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
48,"48	Influenza A virus (A/Aichi/2/1968(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
49,"49	Influenza A virus (A/Aichi/2/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
50,"50	Influenza A virus (A/Aichi/24/1992(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
51,"51	Influenza A virus (A/Aichi/25/1996(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
52,"52	Influenza A virus (A/Aichi/2/68 (Ao))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
53,"53	Influenza A virus (A/Aichi/2/94(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
54,"54	Influenza A virus (A/Aichi/46/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
55,"55	Influenza A virus (A/Aichi/4/93(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
56,"56	Influenza A virus (A/Aichi/67/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
57,"57	Influenza A virus (A/Aichi/69/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
58,"58	Influenza A virus (A/Aichi/7/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
59,"59	Influenza A virus (A/Aichi/80/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
60,"60	Influenza A virus (A/Aichi/9/2006(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
61,"61	Influenza A virus (A/Aichi/94/1999(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
62,"62	Influenza A virus (A/Akita/1/1995(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
63,"63	Influenza A virus (A/Akita/161/1998(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
64,"64	Influenza A virus (A/Akita/1/94(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
65,"65	Influenza A virus (A/Akita/4/93(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
66,"66	Influenza A virus (A/Akita/86/2002(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
67,"67	Influenza A virus (A/Alabama/1/1981(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
68,"68	Influenza A virus (A/Alabama/1/2003(H1N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
69,"69	Influenza A virus (A/Alaska/10/95(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
70,"70	Influenza A virus (A/Alaska/11/2003(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
71,"71	Influenza A virus (A/Alaska/1173/00(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
72,"72	Influenza A virus (A/Alaska/16/95(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
73,"73	Influenza A virus (A/Alaska/1/69(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
74,"74	Influenza A virus (A/Alaska/18/93(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
75,"75	Influenza A virus (A/Alaska/2/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
76,"76	Influenza A virus (A/Alaska/6/1977(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
77,"77	Influenza A virus (A/Alaska/84(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
78,"78	Influenza A virus (A/Alaska/9/92(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
79,"79	Influenza A virus (A/Albany/1/63(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
80,"80	Influenza A virus (A/Albany/1/65(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
81,"81	Influenza A virus (A/Albany/6/58(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
82,"82	Influenza A virus (A/Albany/7/57 (H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
83,"83	Influenza A virus (A/Alma Ata/1417/84(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
84,"84	Influenza A virus (A/Amsterdam/1609/77(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
85,"85	Influenza A virus (A/Amsterdam/4112/92(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
86,"86	Influenza A virus (A/Anas acuta/Primorje/695/1976(H2N3))	Anas acuta	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
87,"87	Influenza A virus (A/Anas acuta/Primorje/695/79(H3N2))	Anas acuta	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
88,"88	Influenza A virus (A/Anas platyrhynchos/Chany Lake/10/03(H3))	Anas platyrhynchos	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
89,"89	Influenza A virus (A/Anas platyrhynchos/Chany Lake/11/03(H3))	Anas platyrhynchos	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
