,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
855,"7957	Influenza A virus (A/Thailand/75/94(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
856,"7958	Influenza A virus (A/Thailand/78/97(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
857,"7959	Influenza A virus (A/Thailand/79/97(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
858,"7960	Influenza A virus (A/thailand/94/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
859,"7961	Influenza A virus (A/Thailand/C1-12/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
860,"7962	Influenza A virus (A/Thailand/C1-14/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
861,"7963	Influenza A virus (A/Thailand/C1-15/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
862,"7964	Influenza A virus (A/Thailand/C1-16/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
863,"7965	Influenza A virus (A/Thailand/C3-10/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
864,"7966	Influenza A virus (A/Thailand/C3-11/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
865,"7967	Influenza A virus (A/Thailand/C3-1 /2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
866,"7968	Influenza A virus (A/Thailand/C3-12/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
867,"7969	Influenza A virus (A/Thailand/C3-13/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
868,"7970	Influenza A virus (A/Thailand/C3-14/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
869,"7971	Influenza A virus (A/Thailand/C3-16/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
870,"7972	Influenza A virus (A/Thailand/C3-19/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
871,"7973	Influenza A virus (A/Thailand/C3-22/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
872,"7974	Influenza A virus (A/Thailand/C3-24/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
873,"7975	Influenza A virus (A/Thailand/C3-25/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
874,"7976	Influenza A virus (A/Thailand/C3-29/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
875,"7977	Influenza A virus (A/Thailand/C3-30/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
876,"7978	Influenza A virus (A/Thailand/C3-3/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
877,"7979	Influenza A virus (A/Thailand/C3-37/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
878,"7980	Influenza A virus (A/Thailand/C3-38/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
879,"7981	Influenza A virus (A/Thailand/C3-40/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
880,"7982	Influenza A virus (A/Thailand/C3-46/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
881,"7983	Influenza A virus (A/Thailand/C3-49/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
882,"7984	Influenza A virus (A/Thailand/C3-51/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
883,"7985	Influenza A virus (A/Thailand/C3-5/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
884,"7986	Influenza A virus (A/Thailand/C3-55/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
885,"7987	Influenza A virus (A/Thailand/C3-6/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
886,"7988	Influenza A virus (A/Thailand/C3-7/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
887,"7989	Influenza A virus (A/Thailand/C3-8/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
888,"7990	Influenza A virus (A/Thailand/C3-9/2002(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
889,"7991	Influenza A virus (A/Thailand/EKA2NF/2004(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
890,"7992	Influenza A virus (A/Thailand/HA20/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
891,"7993	Influenza A virus (A/Thailand/Kamphaengphet-Nontaburi/04(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
892,"7994	Influenza A virus (A/Thailand/LFPN-2004/2004(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
893,"7995	Influenza A virus (A/Thailand/M38/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
894,"7996	Influenza A virus (A/Thailand/NA60/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
895,"7997	Influenza A virus (A/Thailand/NK165/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
896,"7998	Influenza A virus (A/Thailand/NKFE/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
897,"7999	Influenza A virus (A/Thailand/NKNP/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
898,"8000	Influenza A virus (A/Thailand/NS49/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
899,"8001	Influenza A virus (A/Thailand/RPFE/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
900,"8002	Influenza A virus (A/Thailand/RPNP/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
901,"8003	Influenza A virus (A/Thessalonika/12/97(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
902,"8004	Influenza A virus (A/Tianjin/33/92(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
903,"8005	Influenza A virus (A/Tianjing/33/92(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
904,"8006	Influenza A virus (A/Tianjing/51/97(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
905,"8007	Influenza A virus (A/Tianjing/55/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
906,"8008	Influenza A virus (A/tiger/Suphanburi/Thailand/Ti-1/04(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
907,"8009	Influenza A virus (A/tiger/Thailand/CU-LV/2004(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
908,"8010	Influenza A virus (A/tiger/Thailand/CU-T3/2004(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
909,"8011	Influenza A virus (A/tiger/Thailand/CU-T4/04(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
910,"8012	Influenza A virus (A/tiger/Thailand/CU-T5/04(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
911,"8013	Influenza A virus (A/tiger/Thailand/CU-T6/04(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
912,"8014	Influenza A virus (A/tiger/Thailand/CU-T7/2004(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
913,"8015	Influenza A virus (A/tiger/Thailand/CU-T8/04(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
914,"8016	Influenza A virus (A/tiger/Thailand/TLV1/2004(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
915,"8017	Influenza A virus (A/Tiger/Thailand/VSMU-1-SPB/2004(H5N1))	Panthera tigris	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
916,"8018	Influenza A virus (A/Tilburg/5957/92(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
917,"8019	Influenza A virus (A/tk/Givat_Haim/810/25.12.01(H9N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
918,"8020	Influenza A virus (A/tk/Kfar_Vitkin/615/02(H9N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
919,"8021	Influenza A virus (A/tk/Neve_Ilan/90710/00(H9N2))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
920,"8022	Influenza A virus (A/Tokushima/20/1996(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
921,"8023	Influenza A virus (A/Tokushima/3/2002(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
922,"8024	Influenza A virus (A/Tokyo/1275/(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
923,"8025	Influenza A virus (A/Tokyo/1276/(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
924,"8026	Influenza A virus (A/Tokyo/1511/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
925,"8027	Influenza A virus (A/Tokyo/1/51(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
926,"8028	Influenza A virus (A/Tokyo/1527/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
927,"8029	Influenza A virus (A/Tokyo/1539/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
928,"8030	Influenza A virus (A/Tokyo/1566/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
929,"8031	Influenza A virus (A/Tokyo/1567/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
930,"8032	Influenza A virus (A/Tokyo/1568/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
931,"8033	Influenza A virus (A/Tokyo/1569/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
932,"8034	Influenza A virus (A/Tokyo/1570/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
933,"8035	Influenza A virus (A/Tokyo/1967(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
934,"8036	Influenza A virus (A/Tokyo/31/72(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
935,"8037	Influenza A virus (A/Tokyo/3/1967(H1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
936,"8038	Influenza A virus (A/Tokyo/3/1967(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
937,"8039	Influenza A virus (A/Tokyo/3/67(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
938,"8040	Influenza A virus (A/Tokyo/62/1999E(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
939,"8041	Influenza A virus (A/Tokyo/6/73(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
940,"8042	Influenza A virus (A/Tokyo/70/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
941,"8043	Influenza A virus (A/Tokyo/71/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
942,"8044	Influenza A virus (A/Tokyo/72/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
943,"8045	Influenza A virus (A/Tonga/23/85(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
944,"8046	Influenza A virus (A/Tottori/849AM1AL3/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
945,"8047	Influenza A virus (A/Tottori/849AM2/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
946,"8048	Influenza A virus (A/Tottori/849AM2AL3/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
947,"8049	Influenza A virus (A/Tottori/849AM4/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
948,"8050	Influenza A virus (A/Tottori/849K4/1994)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
949,"8051	Influenza A virus (A/Tottori/872AM1AL3/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
950,"8052	Influenza A virus (A/Tottori/872AM2/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
951,"8053	Influenza A virus (A/Tottori/872AM2AL3/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
952,"8054	Influenza A virus (A/Tottori/872AM4/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
953,"8055	Influenza A virus (A/Tottori/872K4/1994(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
954,"8056	Influenza A virus (A/Toulouse/878/2001(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
955,"8057	Influenza A virus (A/tree sparrow/Henan/1/2004(H5N1))	Passer	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
956,"8058	Influenza A virus (A/tree sparrow/Henan/2/2004(H5N1))	Passer	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
957,"8059	Influenza A virus (A/tree sparrow/Henan/3/2004(H5N1))	Passer	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
958,"8060	Influenza A virus (A/tree sparrow/Henan/4/2004(H5N1))	Passer	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
959,"8061	Influenza A virus (A/tree sparrow/HK/864/2002(H5N1))	Passer	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
960,"8062	Influenza A virus (A/Trieste/21/2001(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
961,"8063	Influenza A virus (A/Trinidad/2/1986(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
962,"8064	Influenza A virus (A/Trinidad/47/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
963,"8065	Influenza A virus (A/Trinidad/50/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
964,"8066	Influenza A virus (A/Trinidad/51/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
965,"8067	Influenza A virus (A/Trinidad/697/70(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
966,"8068	Influenza A virus (A/ts1/1/A/FPV/Rostock/1934(H7N1))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
967,"8069	Influenza A virus (A/Tucuman/V425/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
968,"8070	Influenza A virus (A/Tucuman/V694/98(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
969,"8071	Influenza A virus (A/tufted duck/Bavaria/4/2006(H5N1))	Aythya fuligula	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
970,"8072	Influenza A virus (A/tufted duck/Bavaria/8/2006(H5N1))	Aythya fuligula	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
971,"8073	Influenza A virus (A/tufted duck/Bavaria/9/2006(H5N1))	Aythya fuligula	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
972,"8074	Influenza A virus (A/Turkey/2108/2005(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
973,"8075	Influenza A virus (A/turkey/Avichail/1075/02(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
974,"8076	Influenza A virus (A/turkey/Avigdor/1209/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
975,"8077	Influenza A virus (A/turkey/Avigdor/1215/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
976,"8078	Influenza A virus (A/turkey/Avigdor/1920/04(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
977,"8079	Influenza A virus (A/turkey/Beit HaLevi/1009/02(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
978,"8080	Influenza A virus (A/turkey/Beit_HaLevi/1562/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
979,"8081	Influenza A virus (A/turkey/Beit HaLevi/1562/04 (H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
980,"8082	Influenza A virus (A/turkey/Beit HaLevi/1566/04(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
981,"8083	Influenza A virus (A/turkey/Beit_HaLevi/1566/04(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
982,"8084	Influenza A virus (A/turkey/Beit Herut/1265/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
983,"8085	Influenza A virus (A/turkey/Beit_Herut/1265/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
984,"8086	Influenza A virus (A/turkey/Beit Herut/1267/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
985,"8087	Influenza A virus (A/turkey/Beit_Herut/1267/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
986,"8088	Influenza A virus (A/turkey/bethlehem-glilit/1492-b/1982(H1N1))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
987,"8089	Influenza A virus (A/turkey/Bezat/89/05(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
988,"8090	Influenza A virus (A/Turkey/British Colombia/2/97(H6N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
989,"8091	Influenza A virus (A/turkey/Brosh/1276/03(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
990,"8092	Influenza A virus (A/turkey/CA/1623CT/2002(H6N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
991,"8093	Influenza A virus (A/turkey/CA/527/2002(H6N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
992,"8094	Influenza A virus (A/turkey/CA/6878/79(H5N3))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
993,"8095	Influenza A virus (A/turkey/CA/6889/80(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
994,"8096	Influenza A virus (A/turkey/CA/D0208651-C/02(H5N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
995,"8097	Influenza A virus (A/turkey/CA/D0208652-C/02(H5N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
996,"8098	Influenza A virus (A/turkey/California/189/66(H9N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
997,"8099	Influenza A virus (A/turkey/California/6878/79(H5N3))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
998,"8100	Influenza A virus (A/turkey/Canada/1963(H6N8))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
999,"8101	Influenza A virus (A/turkey/Canada/63(H6N2))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1000,"8102	Influenza A virus (A/turkey/Canada-BC/NS-01529-3/05(H3))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1001,"8103	Influenza A virus (A/turkey/Canada-Manitoba/NS-01782-2/05(H3))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1002,"8104	Influenza A virus (A/turkey/Canada-Ontario/NS-01784-2/05(H3))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1003,"8105	Influenza A virus (A/turkey/Canada-Ontario/NS-01839-1/05(H3))	Meleagris gallopavo	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
