,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
1,Variola virus,Homo sapiens,Smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=fever;symptom=maculopapular rash;symptom=toxemia,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
2,Variola major virus,Homo sapiens,Smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=fever;symptom=hydrocephalus;symptom=drowsiness;symptom=muscle weakness;symptom=joint pain;symptom=chest pain;symptom=change in body sensation;symptom=cough;symptom=confusion;symptom=testicular pain;symptom=throat pain;symptom=headache;symptom=loss of appetite;symptom=paralysis;symptom=sensory disturbance;symptom=parotid pain;symptom=nausea;symptom=slow pulse;symptom=stiff neck;symptom=vomiting;symptom=muscle pain;symptom=malaise;symptom=excess lymphocytes in cerebrospinal fluid,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
3,Variola major virus,Homo sapiens,Ordinary smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=severe joint pain;symptom=severe chest pain;symptom=extreme prostration;symptom=abdominal pain ,,
4,Variola major virus,Homo sapiens,Modified smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
5,Variola major virus,Homo sapiens,Flat-type smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
6,Variola major virus,Homo sapiens,Hemorrhagic smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
7,Variola minor virus,Homo sapiens,Smallpox,aerosol,droplet spread,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
8,Variola virus,Homo sapiens,Smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
9,Variola major virus,Homo sapiens,Smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
10,Variola major virus,Homo sapiens,Ordinary smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
11,Variola major virus,Homo sapiens,Modified smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
12,Variola major virus,Homo sapiens,Flat-type smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=enanthem,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
13,Variola major virus,Homo sapiens,Hemorrhagic smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=hemorrhage into skin;symptom=intense toxemia;symptom=hemorrhage into mucous membrane,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
14,Variola minor virus,Homo sapiens,Smallpox,bodily fluid,vehicle-borne medical,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
15,Variola virus,Homo sapiens,Smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
16,Variola major virus,Homo sapiens,Smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
17,Variola major virus,Homo sapiens,Ordinary smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
18,Variola major virus,Homo sapiens,Modified smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
19,Variola major virus,Homo sapiens,Flat-type smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
20,Variola major virus,Homo sapiens,Hemorrhagic smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
21,Variola minor virus,Homo sapiens,Smallpox,bedclothing,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
22,Variola virus,Homo sapiens,Smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
23,Variola major virus,Homo sapiens,Smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
24,Variola major virus,Homo sapiens,Ordinary smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
25,Variola major virus,Homo sapiens,Modified smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
26,Variola major virus,Homo sapiens,Flat-type smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
27,Variola major virus,Homo sapiens,Hemorrhagic smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
28,Variola minor virus,Homo sapiens,Smallpox,cloth,vehicle-borne fomite,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
29,Variola virus,Homo sapiens,Smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
30,Variola major virus,Homo sapiens,Smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
31,Variola major virus,Homo sapiens,Ordinary smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
32,Variola major virus,Homo sapiens,Modified smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
33,Variola major virus,Homo sapiens,Flat-type smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
34,Variola major virus,Homo sapiens,Hemorrhagic smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
35,Variola minor virus,Homo sapiens,Smallpox,air,airborne,respiratory system,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
36,Variola virus,Homo sapiens,Smallpox,undocumented,undocumented,undocumented,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
37,Variola major virus,Homo sapiens,Smallpox,undocumented,undocumented,undocumented,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
38,Variola virus,Homo sapiens,Smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
39,Variola major virus,Homo sapiens,Smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
40,Variola major virus,Homo sapiens,Ordinary smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
41,Variola major virus,Homo sapiens,Modified smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
42,Variola major virus,Homo sapiens,Flat-type smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
43,Variola major virus,Homo sapiens,Hemorrhagic smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
44,Variola minor virus,Homo sapiens,Smallpox,Homo sapiens,contact,skin,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=headache;symptom=backache;symptom=fever,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
45,Variola virus,Homo sapiens,Smallpox,Homo sapiens,undocumented,undocumented,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
46,Variola major virus,Homo sapiens,Variola sine eruptione,undocumented,undocumented,undocumented,PMID:15752449,PMID:15752449,
47,Variola minor virus,Homo sapiens,Hemorrhagic smallpox,undocumented,undocumented,undocumented,PMID:15752449,PMID:15752449,
48,Variola minor virus,Homo sapiens,Variola sine eruptione,undocumented,undocumented,undocumented,PMID:15752449;symptom=headache;symptom=fever;symptom=backache,PMID:15752449,
49,Variola virus,Homo sapiens,Smallpox,unknown,unknown,unknown,PMID:14758439,PMID:14758439,
50,Variola virus,Homo sapiens,Smallpox,unknown,unknown,unknown,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/;symptom=petechiae;symptom=blotchy red rash;symptom=vomiting;symptom=vomiting;symptom=toxemia;symptom=hematemesis;symptom=headache;symptom=frontal headache;symptom=fever;symptom=fever;symptom=herpetic lesion on upper lip;symptom=malaise;symptom=backache;symptom=anorexia;symptom=abdominal discomfort,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
51,Variola virus,Homo sapiens,Smallpox,Homo sapiens,unknown,unknown,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,URL:http://www.bt.cdc.gov/agent/smallpox/overview/overview.pdf;URL:http://www.who.int/bulletin/volumes/81/10/en/,
52,Lymphocytic choriomeningitis virus,Mus musculus,no disease,undocumented,undocumented,undocumented,PMID:16107785;URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf;infection_cvterm=is_reservoir,PMID:16107785;URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
53,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,Mus musculus,contact,skin,PMID:16107785;URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,PMID:16107785,
54,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,air,airborne,respiratory system,PMID:17304461,PMID:17304461,
55,Lymphocytic choriomeningitis virus,Cricetinae,Non-arthropod-borne lymphocytic choriomeningitis,Mus musculus,contact,undocumented,PMID:16107785;URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,PMID:16107785;URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
56,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,Homo sapiens,vehicle-borne medical,kidney,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,PMID:16617288;PMID:16723615;PMID:16617288;trans_cvterm=organ transplant,
57,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,Homo sapiens,vehicle-borne medical,liver,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,PMID:16617288;PMID:16723615;PMID:16617288;trans_cvterm=organ transplant,
58,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,Homo sapiens,congenital,whole body,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,PMID:8903188,
59,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,urine,vehicle-borne medical,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
60,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,feces,vehicle-borne medical,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
61,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,saliva,vehicle-borne medical,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
62,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,nesting material,vehicle-borne fomite,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
63,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,urine,vehicle-borne medical,nose,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
64,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,feces,vehicle-borne medical,nose,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
65,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,saliva,vehicle-borne medical,nose,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
66,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,nesting material,vehicle-borne fomite,nose,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
67,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,urine,vehicle-borne medical,eye,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
68,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,feces,vehicle-borne medical,eye,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
69,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,saliva,vehicle-borne medical,eye,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
70,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,nesting material,vehicle-borne fomite,eye,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
71,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,urine,vehicle-borne medical,respiratory system,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
72,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,feces,vehicle-borne medical,respiratory system,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
73,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,saliva,vehicle-borne medical,respiratory system,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
74,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,nesting material,vehicle-borne fomite,respiratory system,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
75,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,urine,vehicle-borne medical,mouth,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
76,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,feces,vehicle-borne medical,mouth,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
77,Lymphocytic choriomeningitis virus,Homo sapiens,Non-arthropod-borne lymphocytic choriomeningitis,saliva,vehicle-borne medical,mouth,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Lymphocytic_Choriomeningitis_Fact_Sheet.pdf,
