#pathogen_cv=ncbi_taxonomy,gemina_curation									
#curation_cv=gemina _curation									
#source_cv=ncbi_taxonomy,ENVO,gemina_curation,gemina_anatomy									
#disease_cv=DOID,gemina_curation									
#portal_cv=gemina_anatomy,gemina_curation									
#infection_atts_cv=gemina_curation,symptoms,infection_attribute									
#transmission_atts_cv=transmission_attribute									
#trans_type_cv=gemina_curation,transmission_process									
#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments
2607	Influenza A virus (A/duck/Nanchang/4-361/2001(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2608	Influenza A virus (A/Duck/Nanchang/662/1998(H4N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2609	Influenza A virus (A/Duck/Nanchang/7-092/2000(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2610	Influenza A virus (A/duck/Nanchang/8-174/2000(H3N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2611	Influenza A virus (A/Duck/Nanchang/8-197/2000(H3N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2612	Influenza A virus (A/Duck/Nanchang/8-198/2000(H3N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2613	Influenza A virus (A/Duck/Nanchang/9-091/2000(H3N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2614	Influenza A virus (A/Duck/Nanchang/9-385/2000(H3N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2615	Influenza A virus (A/duck/Nanchang/d106/1997(H4N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2616	Influenza A virus (A/duck/Nanjing/01/1999(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2617	Influenza A virus (A/duck/Nanjing/1/97(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2618	Influenza A virus (A/duck/Nanjing/2/97(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2619	Influenza A virus (A/duck/NC/91347/01(H1N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2620	Influenza A virus (A/duck/New Jersey/2000(H3N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2621	Influenza A virus (A/duck/New York/12/1978(H11N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2622	Influenza A virus (A/duck/New York/16873/1999(H6N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2623	Influenza A virus (A/duck/NewYork/17542-4/86(H9N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2624	Influenza A virus (A/duck/New Zealand/164/76(H11N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2625	Influenza A virus (A/duck/New Zealand/31/1976(H4N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2626	Influenza A virus (A/duck/New Zealand/31/1976(H4N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2627	Influenza A virus (A/duck/New Zealand/38/1984(H3N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2628	Influenza A virus (A/duck/New Zealand/41/1984(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2629	Influenza A virus (A/duck/New Zealand/76/84(H3N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2630	Influenza A virus (A/duck/New Zealand/78/1984(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2631	Influenza A virus (A/duck/Niger/914/2006(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2632	Influenza A virus (A/Duck/NJ/117228-7/2001(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2633	Influenza A virus (A/Duck/NJ/117228-7/01(H7N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2634	Influenza A virus (A/duck/NJ/5406/94(H4))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2635	Influenza A virus (A/duck/NJ/5832-13/96(H6N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2636	Influenza A virus (A/duck/Norway/1/2003(H3N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2637	Influenza A virus (A/duck/Novosibirsk/02/05(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2638	Influenza A virus (A/duck/Novosibirsk/56/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2639	Influenza A virus (A/duck/NY/14933/95(H6N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2640	Influenza A virus (A/Duck/NY/185502/2002(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2641	Influenza A virus (A/duck/NY/186875/2002(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2642	Influenza A virus (A/duck/NY/191255-59/2002(H5N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2643	Influenza A virus (A/duck/NY/191255-79/02(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2644	Influenza A virus (A/Duck/NY/44018-1/2000(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2645	Influenza A virus (A/duck/NY/44018-2/00(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2646	Influenza A virus (A/duck/NY/5832-13/96(H6N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2647	Influenza A virus (A/duck/NY/83779/2002(H6N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2648	Influenza A virus (A/duck/NY/83793/2002(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2649	Influenza A virus (A/duck/NZL/160/1976(H1N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2650	Influenza A virus (A/duck/New Zealand/31/1976(H4N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2651	Influenza A virus (A/duck/New Zealand/38/1984(H3N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2652	Influenza A virus (A/duck/NZL/41/1984(H1N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2653	Influenza A virus (A/duck/NZL/76/1984(H9N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2654	Influenza A virus (A/duck/New Zealand/78/1984(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2655	Influenza A virus (A/Duck/Ohio/118C/93 (H1N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2656	Influenza A virus (A/Duck/Ohio/175/86 (H1N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2657	Influenza A virus (A/Duck/Ohio/194/86 (H1N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2658	Influenza A virus (A/Duck/Ohio/30/86 (H1N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2659	Influenza A virus (A/duck/Ontario/05/00 (H3N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2660	Influenza A virus (A/duck/Ontario/1977(H2N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2661	Influenza A virus (A/Duck/PA/143585/01(H7N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2662	Influenza A virus (A/duck/PA/69(H6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2663	Influenza A virus (A/duck/Parepare/BBVM/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2664	Influenza A virus (A/duck/Pennsylvania/10218/1984(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2665	Influenza A virus (A/duck/Pennsylvania/1/1969(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2666	Influenza A virus (A/duck/Pennsylvania/1984(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2667	Influenza A virus (A/duck/Phichit-2-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2668	Influenza A virus (A/duck/Phichit-2-02/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2669	Influenza A virus (A/duck/Phitsanulok-2-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2670	Influenza A virus (A/duck/Phitsanulok-2-02/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2671	Influenza A virus (A/duck/Postdam/1689/85(H2N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2672	Influenza A virus (A/duck/Potsdam/1402-6/1986(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2673	Influenza A virus (A/duck/Potsdam/1402-6/1986(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2674	Influenza A virus (A/duck/Potsdam/2216-4/1984(H5N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2675	Influenza A virus (A/duck/Primorie/2621/01(H5N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2676	Influenza A virus (A/duck/Primorie/2633/01(H5N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2677	Influenza A virus (A/duck/Primorie/3672/02(H4N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2678	Influenza A virus (A/duck/Primorie/3691/02(H12N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2679	Influenza A virus (A/duck/Romania/2/05(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2680	Influenza A virus (A/duck/Saraburi/Thailand/CU-74/04(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2681	Influenza A virus (A/duck/Shandong/093/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2682	Influenza A virus (A/duck/Shanghai/08/05(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2683	Influenza A virus (A/duck/Shanghai/08/2001(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2684	Influenza A virus (A/duck/Shanghai/13/2001(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2685	Influenza A virus (A/duck/Shanghai/35/2002(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2686	Influenza A virus (A/duck/Shanghai/37/2002(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2687	Influenza A virus (A/duck/Shanghai/38/2001(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2688	Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2689	Influenza A virus (A/Duck/Shantou/1042/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2690	Influenza A virus (A/Duck/Shantou/1043/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2691	Influenza A virus (A/duck/Shantou/13323/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2692	Influenza A virus (A/Duck/Shantou/1588/00(H9N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2693	Influenza A virus (A/Duck/Shantou/1605/01(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2694	Influenza A virus (A/Duck/Shantou/1796/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2695	Influenza A virus (A/Duck/Shantou/1881/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2696	Influenza A virus (A/Duck/Shantou/2030/00(H9N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2697	Influenza A virus (A/Duck/Shantou/2088/01(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2698	Influenza A virus (A/Duck/Shantou/2102/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2699	Influenza A virus (A/Duck/Shantou/2134/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2700	Influenza A virus (A/Duck/Shantou/2143/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2701	Influenza A virus (A/Duck/Shantou/2144/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2702	Influenza A virus (A/duck/Shantou/4610/2003(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2703	Influenza A virus (A/duck/Shantou/5540/2001(H6N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2704	Influenza A virus (A/Duck/Shantou/830/00(H9N2))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2705	Influenza A virus (A/duck/Sheyang/1/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2706	Influenza A virus (A/duck/Siberia/272/1998(H13N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2707	Influenza A virus (A/duck/Siberia/272PF/1998(H13N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2708	Influenza A virus (A/duck/Singapore/3/1997(H5N3))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2709	Influenza A virus (A/duck/South Africa/1108/2004(H3N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2710	Influenza A virus (A/duck/South Africa/1233A/2004(H4N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2711	Influenza A virus (A/duck/South Africa/811/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2712	Influenza A virus (A/duck/Taiwan/0526/72(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2713	Influenza A virus (A/duck/Taiwan/10-2/00(H4N6))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2714	Influenza A virus (A/duck/Taiwan/29-3/00(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2715	Influenza A virus (A/duck/Taiwan/4201/99(H7N7))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2716	Influenza A virus (A/duck/Taiwan/9/23-3/2000(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2717	Influenza A virus (A/duck/Taiwan/A68/03(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2718	Influenza A virus (A/Duck/Taiwan/g9/89(H11N?))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2719	Influenza A virus (A/duck/Taiwan/WB239/03(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2720	Influenza A virus (A/duck/Taiwan/WB29/99(H6N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2721	Influenza A virus (A/duck/Taiwan/WB459/04(H6N5))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2722	Influenza A virus (A/duck/Thailand/CU-2/2004 (H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2723	Influenza A virus (A/duck/Thailand/Kamphaengphet-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2724	Influenza A virus (A/Duck/Thailand/KU-KPS/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2725	Influenza A virus (A/duck/Thailand/Phichit-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2726	Influenza A virus (A/duck/Thailand/Sukhothai-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2727	Influenza A virus (A/duck/Tuva/01/2006(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2728	Influenza A virus (A/duck/Ukraine/1/1963(H3N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2729	Influenza A virus (A/duck/ukraine/1/1960(H11N))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2732	Influenza A virus (A/duck/Ukraine/2/1960(H11N8))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2733	Influenza A virus (A/duck/Uthaithani-2-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2734	Influenza A virus (A/duck/Uthaithani-2-02/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2735	Influenza A virus (A/duck/Uttaradit-2-01/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2736	Influenza A virus (A/duck/Victoria/76(H7N?))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2737	Influenza A virus (A/duck/Vietnam/1/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2738	Influenza A virus (A/duck/Viet Nam/1/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2739	Influenza A virus (A/duck/Viet Nam/12/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2740	Influenza A virus (A/duck/Vietnam/148/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2741	Influenza A virus (A/duck/Vietnam/15/2003(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2742	Influenza A virus (A/duck/Vietnam/17/2003(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2743	Influenza A virus (A/duck/Viet Nam/18/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2744	Influenza A virus (A/duck/Viet Nam/19/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2745	Influenza A virus (A/duck/Viet Nam/20/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2746	Influenza A virus (A/duck/Vietnam/219/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2747	Influenza A virus (A/duck/Vietnam/220/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2748	Influenza A virus (A/duck/Vietnam/258/2004(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2749	Influenza A virus (A/duck/Vietnam/272/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
2750	Influenza A virus (A/duck/Vietnam/283/2005(H5N1))	Anas platyrhynchos	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
